Banja Luka,Tuzla,Doboj,Trebinje,Bihac
167+1,164+1,155+1,72+1,170+1
164+1,163+1,155+1,76+1,170+1
176+1,170+1,155+1,109+1,170+1
367+1,200+1,213+1,115+1,168+1
121+2,500+2,99+2,151+2,266+2
169+2,93+2,114+2,58+2,65+2
326+2,164+2,76+2,136+2,67+2
99+2,60+2,53+2,64+2,63+2
79+2,69+2,66+2,18+2,61+2
153+2,73+2,119+2,39+2,154+2
131+2,96+2,106+2,64+2,72+2
319+2,171+2,154+2,58+2,122+2
160+2,233+2,177+2,76+2,127+2
214+2,196+2,170+2,71+2,85+2
348+2,288+2,124+2,67+2,184+2
343+2,235+2,198+2,126+2,165+2
305+2,222+2,198+2,164+2,152+2
313+2,161+2,0+2,67+2,61+2
305+2,273+2,0+2,153+2,153+2
156+2,261+2,0+2,173+2,57+2
135+2,269+2,0+2,152+2,53+2
191+2,179+2,0+2,152+2,38+2
256+2,215+2,0+2,151+2,27+2
263+2,246+2,0+2,162+2,38+2
279+2,201+2,0+2,180+2,91+2
321+2,184+2,0+2,172+2,153+2
152+2,175+2,165+2,143+2,69+2
92+2,47+2,48+2,64+2,54+2
197+2,119+2,0+2,34+2,68+2
153+2,146+2,0+2,38+2,91+2
157+2,135+2,0+2,53+2,63+2
259+3,198+3,0+3,42+3,55+3
283+3,193+3,0+3,138+3,164+3
231+3,177+3,0+3,57+3,168+3
270+3,189+3,0+3,125+3,193+3
291+3,500+3,0+3,171+3,171+3
272+3,144+3,0+3,142+3,76+3
137+3,143+3,0+3,168+3,87+3
37+3,172+3,0+3,103+3,85+3
66+3,122+3,0+3,183+3,79+3
160+3,146+3,0+3,60+3,66+3
224+3,141+3,0+3,121+3,91+3
238+3,164+3,0+3,52+3,59+3
127+3,170+3,0+3,100+3,85+3
