Podgorica,Bar,Nikšić,Bijelo Polje,Pljevlja
160+1,56+1,89+1,181+1,210+1
160+1,56+1,89+1,181+1,210+1
181+1,55+1,91+1,184+1,219+1
74+2,49+2,52+2,51+2,89+2
28+2,26+2,28+2,38+2,56+2
67+2,38+2,22+2,174+2,156+2
47+2,22+2,28+2,50+2,66+2
23+2,22+2,23+2,47+2,38+2
30+2,22+2,22+2,58+2,77+2
35+2,34+2,24+2,122+2,91+2
38+2,41+2,25+2,154+2,143+2
51+2,38+2,24+2,105+2,143+2
66+2,62+2,37+2,163+2,116+2
77+2,50+2,31+2,169+2,100+2
33+2,36+2,24+2,289+2,188+2
58+2,36+2,33+2,175+2,143+2
41+2,65+2,28+2,255+2,74+2
141+2,141+2,88+2,186+2,176+2
77+2,64+2,56+2,184+2,176+2
69+2,72+2,52+2,131+2,192+2
152+2,92+2,69+2,69+2,152+2
78+2,73+2,55+2,162+2,155+2
80+2,52+2,60+2,149+2,152+2
56+2,43+2,61+2,180+2,133+2
75+2,63+2,65+2,105+2,159+2
115+2,68+2,78+2,174+2,156+2
73+2,52+2,47+2,71+2,74+2
96+2,93+2,56+2,67+2,73+2
37+2,35+2,40+2,252+2,194+2
59+2,68+2,97+2,93+2,68+2
64+3,64+3,89+3,153+3,173+3
56+3,53+3,137+3,137+3,141+3
37+3,38+3,67+3,85+3,111+3
40+3,24+3,51+3,84+3,68+3
48+3,32+3,57+3,131+3,99+3
62+3,38+3,68+3,92+3,91+3
89+3,63+3,72+3,81+3,121+3
113+3,41+3,75+3,63+3,63+3
91+3,38+3,66+3,46+3,67+3
46+3,27+3,65+3,154+3,154+3
36+3,40+3,84+3,51+3,51+3
2+3,29+3,28+3,77+3,73+3
6+3,28+3,60+3,160+3,100+3
