Zagreb,Zadar,Osijek,Rijeka,Karlovac
166+1,114+1,54+1,34+1,500+1
166+1,114+1,54+1,34+1,500+1
51+2,258+2,60+2,83+2,500+2
72+2,13+2,38+2,28+2,500+2
102+2,187+2,37+2,53+2,450+2
15+2,18+2,26+2,32+2,500+2
28+2,13+2,27+2,29+2,500+2
61+2,29+2,25+2,27+2,500+2
120+2,61+2,60+2,23+2,500+2
154+2,69+2,30+2,29+2,500+2
121+2,71+2,68+2,26+2,500+2
146+2,131+2,53+2,38+2,500+2
155+2,213+2,69+2,37+2,500+2
63+2,52+2,116+2,32+2,500+2
124+2,33+2,65+2,32+2,500+2
109+2,258+2,74+2,19+2,182+2
159+2,159+2,143+2,27+2,220+2
168+2,141+2,148+2,17+2,104+2
146+2,196+2,76+2,55+2,140+2
105+2,186+2,155+2,48+2,49+2
161+2,153+2,86+2,65+2,42+2
147+2,144+2,86+2,54+2,97+2
318+2,99+2,65+2,62+2,500+2
143+2,106+2,52+2,26+2,500+2
169+2,154+2,62+2,32+2,500+2
158+2,62+2,77+2,29+2,347+2
29+2,73+2,33+2,31+2,500+2
162+2,17+2,71+2,28+2,500+2
101+2,29+2,61+2,28+2,500+2
95+2,54+2,71+2,28+2,500+2
106+3,38+3,114+3,18+3,500+3
204+3,52+3,74+3,26+3,500+3
189+3,59+3,89+3,34+3,500+3
199+3,63+3,114+3,38+3,500+3
126+3,88+3,67+3,31+3,500+3
82+3,42+3,81+3,31+3,500+3
46+3,21+3,71+3,36+3,500+3
41+3,25+3,42+3,36+3,36+3
58+3,38+3,33+3,35+3,308+3
82+3,126+3,43+3,27+3,500+3
62+3,42+3,30+3,31+3,500+3
157+3,21+3,36+3,26+3,500+3
33+3,42+3,48+3,28+3,500+3
