Skopje,Kumanovo,Bitola,Gevgelija,Strumica
190+1,5+1,189+1,121+1,117+1
187+1,5+1,189+1,121+1,117+1
187+1,5+1,189+1,121+1,117+1
189+1,13+1,189+1,153+1,151+1
483+2,13+2,66+2,169+2,165+2
193+2,14+2,53+2,54+2,59+2
182+2,16+2,186+2,147+2,119+2
97+2,8+2,46+2,62+2,156+2
57+2,8+2,71+2,26+2,50+2
61+2,11+2,113+2,49+2,80+2
87+2,11+2,151+2,77+2,85+2
180+2,9+2,152+2,155+2,129+2
157+2,9+2,92+2,169+2,179+2
197+2,9+2,167+2,134+2,189+2
250+2,0+2,177+2,167+2,198+2
151+2,11+2,94+2,144+2,187+2
184+2,11+2,94+2,163+2,187+2
269+2,9+2,153+2,86+2,95+2
161+2,9+2,184+2,157+2,213+2
198+2,14+2,168+2,154+2,102+2
361+2,9+2,43+2,173+2,200+2
173+2,21+2,59+2,163+2,216+2
176+2,7+2,63+2,182+2,126+2
154+2,7+2,157+2,55+2,116+2
170+2,12+2,50+2,159+2,176+2
182+2,9+2,171+2,169+2,78+2
169+2,18+2,67+2,157+2,93+2
160+2,8+2,124+2,166+2,112+2
178+2,8+2,70+2,194+2,105+2
60+2,13+2,67+2,156+2,68+2
171+2,6+2,73+2,182+2,155+2
145+2,7+2,54+2,54+2,153+2
142+3,0+3,62+3,173+3,108+3
153+3,6+3,43+3,152+3,95+3
132+3,4+3,156+3,174+3,79+3
165+3,9+3,78+3,129+3,70+3
151+3,11+3,11+3,92+3,92+3
262+3,11+3,70+3,154+3,78+3
168+3,6+3,115+3,166+3,59+3
188+3,6+3,152+3,152+3,82+3
108+3,6+3,49+3,177+3,76+3
169+3,12+3,12+3,200+3,166+3
85+3,13+3,37+3,159+3,118+3
81+3,10+3,58+3,67+3,61+3
177+3,5+3,175+3,149+3,154+3
