Beograd,Subotica,Čačak,Kraljevo,Zaječar
138+1,174+1,190+1,151+1,500+1
146+1,157+1,172+1,160+1,500+1
146+1,164+1,202+1,135+1,500+1
146+1,164+1,202+1,116+1,500+1
52+2,78+2,207+2,84+2,500+2
50+2,69+2,30+2,24+2,500+2
114+2,92+2,129+2,110+2,500+2
58+2,15+2,108+2,20+2,500+2
37+2,18+2,30+2,16+2,500+2
65+2,23+2,45+2,34+2,500+2
82+2,151+2,151+2,52+2,500+2
96+2,169+2,80+2,46+2,500+2
150+2,203+2,142+2,66+2,500+2
92+2,171+2,174+2,89+2,500+2
159+2,205+2,174+2,167+2,500+2
132+2,219+2,9+2,185+2,500+2
139+2,172+2,12+2,167+2,500+2
110+2,139+2,72+2,88+2,500+2
157+2,171+2,177+2,173+2,500+2
171+2,352+2,186+2,151+2,500+2
173+2,167+2,221+2,172+2,500+2
86+2,76+2,169+2,184+2,500+2
155+2,118+2,151+2,157+2,500+2
158+2,82+2,169+2,171+2,500+2
106+2,161+2,180+2,115+2,500+2
128+2,156+2,69+2,56+2,500+2
155+2,73+2,122+2,185+2,500+2
32+2,57+2,68+2,51+2,500+2
86+2,73+2,141+2,60+2,500+2
91+2,111+2,160+2,70+2,500+2
133+2,113+2,127+2,90+2,500+2
74+3,145+3,154+3,55+3,500+3
97+3,152+3,119+3,63+3,500+3
154+3,154+3,121+3,98+3,500+3
151+3,160+3,198+3,155+3,500+3
98+3,152+3,152+3,172+3,500+3
126+3,183+3,195+3,192+3,500+3
106+3,157+3,48+3,173+3,500+3
80+3,99+3,50+3,88+3,500+3
55+3,124+3,41+3,156+3,500+3
87+3,84+3,185+3,52+3,52+3
60+3,22+3,56+3,64+3,500+3
88+3,274+3,193+3,80+3,500+3
96+3,114+3,212+3,113+3,0+3
